,Fuel Type,,Mileage,,Manual,,GREY METALLIC,Options,,Citroen,,Transmission,89 000 Km,2.0 attraction,,Petrol,,2012 Citroen C4 Aircross 2.0 Attraction,Excellent,,R 129 995,"2012 Citroen C4 Aircross 2.0 Attraction[110KW]........Only done 89000kms with FSH,  Immaculate condition, C/d player, A/con, P/str...............R129 995........Bank finance available contact ASH on 083 786 3377 [PMBurg]",Kwazulu Natal,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Automatic,,White,Options,,Citroen,,Transmission,132 000 Km,N/A,,Diesel,,2011 Citroen C5 3.0 Hdi A/t,Excellent,,R 129 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Park distance control, Radio                                                                                    ,
                                                                                                                                                        2011 M Citroen C5 3.0 HDI In exelant condition R129900
Alton 0791916581",Free State,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen C5,,Condition
,Fuel Type,,Mileage,,Manual,,Silver,Options,,Citroen,,Transmission,150 Km,#38310,,Diesel,,2016 Citroen C4 Picasso 1.6 e HDi Intesive,New,,R 389 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Motorplan, Park distance control, Radio, Sat nav, Sunroof, Xenon lights                                                                                    ,
                                                                                                                                                        Power: 85kw @ 3600rpm
Torque: 270nm @ 1750rpm
Fuel Consumption: 4.0L/100km
CO2 Emissions : 105g CO2/100km
Gearbox: 6 Speed Manual
Tyres: 205/55 R17
Fuel Tank Capacity : 55 Litre


ABS with EBD, ESP and inteligent Traction Control
6 Airbags : Driver,Passener , Side & curtain Airbags
Second Generation Stop Start Technology( with brake energy recuperation)
Variable Assistance Electric power Steering
Automatic Bi-zone Air-conditioning System
17"" Alloy wheels

eMYWAY Satellite Navigation( Displayed on 7"" touch screen) & 12"" HD Screen built into Dashboard
12v ,USB, Aux, Bluetooth Handsfree & Juke Box Function (8gig internal storage for storing music)
Front Park Sensors & Rear Park Sensors
360 View (camera at the front,rear & both sides) & Blind spot monitoring
Park Assist : Car can LA-Dock and parrarel park itself
Keyless access & keyless push to start
Panoramic Glass Roof
Electric Seats(with memory Function),heated seats & massaging seats
Full Nappa Leather interior
Auto headlights & Auto Wipers
For Further Information Please Contact 
Justin Mandy
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,White,Options,,Citroen,,Transmission,50 Km,#DS3SPORT,,Petrol,,2016 Citroen DS3 1.6 Thp Sport 3dr,New,,R 279 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Leather seats, Motorplan, Park distance control, Radio, Sunroof, Xenon lights                                                                                    ,
                                                                                                                                                        Air Conditioner Power Steering Electric Windows - Front Only Central Locking Remote Electric Mirrors Leather interior 

. Standard features: ABS, EBS, brake assist, stability control, power steering, central locking, aircon, climate control, CD player, AUX input, USB port.

Citroen DS3 1.6 Puretech e-THP Sport

Power -  120 kW @ 6000 rpm
Torque -  240 Nm @ 1750 rpm
Economy - 5.6 l/100km
Emissions - 129 g/km
Emissions Rating - EU6
Gears - 6 / FRONT
Acceleration - 8.1 seconds
Top Speed - 218 km/h
Airbags (total) - 6
Length - 3,948 cm
Seats - 5
Fuel Tank Capacity - 48 litres
Boot Capacity - 285 litres
Service Intervals - 15,000 km

For Further information Please Contact 
Justin Mandy
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,Silver,Options,,Citroen,,Transmission,50 Km,#CACTUS60,,Petrol,,2016 Citroen C4 Cactus 1.2 Puretech Feel (60kw),New,,R 209 900,"ABS, Air bags, Aircon, Alarm, Cruise control, Electric Windows, Full service record, Motorplan, Sat nav                                                                                    ,
                                                                                                                                                        Citroen C4 Cactus 1.2 Pure Tec Turbo Feel Manual 5 Door (81kW) - Aden Red Finished In Black Fabric. 7"" Touch Screen, Speedo Cruise with Speed Limiter, Height Adjust Headlamps, Roof Rails, Bluetooth, USB, Aux, Black Airbump Stops, 16"" Steel Rim, Hubcaps, Front E/Windows, Gear Change Indic, Daytime LED'S, 6 Airbags, ABS, Aircon, Powersteering. Balance 5yr/ 100 000km Service Plan

Citroen C4 Cactus 1.2 Puretech e-THP Feel
Power -  60 kW @ 5750 rpm
Torque -  118 Nm @ 2750 rpm
Economy - 4.6 l/100km
Emissions - 107 g/km
Emissions Rating - EU6
Gears - 5 / FRONT
Acceleration - 14.5 seconds
Top Speed - 167 km/h
Airbags (total) - 6
Length - 4,157 cm
Seats - 5
Fuel Tank Capacity - 50 litres
Boot Capacity - 358 litres
Service Intervals - 15,000 km 
For Further Information Please Contact 
Justin Mandy
0839899658
jsutinm@mekor,co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,71 600 Km,,,"AIRCON, POWER STEERING, CENTRAL LOCKING, ABS, AIRBAGS                                                                                    ,
                                                                                                                                                        FSH",,2007 Citroen C1 1.0i Play,White,,R 49 900,Gauteng,20UCP11818,2016/07/26,Transmission,,Car id,Year,2007,,,Citroen C1,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,157 417 Km,,,Radio Cd;Electric Mirrors;Airbags;Central Locking;Part Service History;Electric Windows Front;Airconditioning;Powersteering,,2006 Citroen C2 1.4i Vtr,YELLOW,,R 54 950,Gauteng,THG255GP/167882,2016/07/26,Transmission,,Car id,Year,2006,,,Citroen C2,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,87 800 Km,,,"Optional Extended Warranty and Service Plan Available. Aux Input, USB Input, Foglights, A/C, Central Locking, CD Player.                                                                                    ,
                                                                                                                                                        This Citroen C3 is a very nice car to drive, best of all is you will make a massive saving in regards of fuel bills while still driving a stylish vehicle. The Citroen C4 is the perfect vehicle offering comfort, style and practicality.",,2010 Citroen C3 1.4 Vti Seduction,Silver,,R 79 900,Gauteng,36USD60563,2016/07/26,Transmission,,Car id,Year,2010,,,Citroen C3,,Colour
,Options,,Mileage,,Diesel,,Manual,Area,,Citroen,,Fuel Type,140 000 Km,,,"Aircon, Electric Windows, Radio                                                                                    ,
                                                                                                                                                        Kingsley: 078 0101113
Lenny: 081 3632608
Valdo: 079 3992999
Damon: 0812822234

Right Cars JHB 
Cnr Witkoppen Rd & Malibongwe Dr
Northriding Johannesburg 
(5 min from Northgate center)

Right Cars CT

70 Marine Dr.
Paarden Eiland
Cape Town

Open Mon 9.00-17.00,Tue-Thur 8.00-17.00, Frid 9.00-17.00, Sat & Public Holidays 8.00-15.00",,2006 Citroen C3 1.4 Hdi,Green,,R 49 900,Gauteng,N/A,2016/07/26,Transmission,,Car id,Year,2006,,,Citroen C3,,Colour
,Fuel Type,,Mileage,,Manual,,silver,Options,,Citroen,,Transmission,50 763 Km,N/A,,Petrol,,2011 Citroen C1 1.0i Seduction,Excellent,,R 89 900,"ABS, Air bags, Aircon, Alarm, Radio",Western Cape,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen C1,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,55 550 Km,,,"A/C, P/S",,2012 Citroen C1 1.0i Attraction,White,,R 79 900,Gauteng,DK61PSGP,2016/07/26,Transmission,,Car id,Year,2012,,,Citroen C1,,Colour
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,56 000 Km,,,lovely vehicle almost new very clean priced to go,,2013 Citroen DS3 1.6 Thp Ultra Prestige 3dr,White,,R 169 900,Gauteng,538580,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen DS3,,Colour
,Options,,Year,,Petrol,,Manual,Area,,Citroen,,Fuel Type,2016,,,Finance available Trade-In's welcome. Price excludes on the road fees and any additional extras. Please contact us at Citroen Hatfield : 012 432 0700,,2016 Citroen C4 Cactus 1.2t Puretech Feel (81kw),Optional,,R 229 900,Gauteng,0013,2016/07/26,Transmission,,Car id,Condition,New,,,Citroen C4,,Colour
,Options,,Year,,Petrol,,Manual,Area,,Citroen,,Fuel Type,2016,,,Finance available Trade-In's welcome. Price excludes on the road fees and any additional extras. Please contact us at Citroen Hatfield : 012 432 0700,,2016 Citroen C4 Cactus 1.2t Puretech Shine (81kw),Optional,,R 249 900,Gauteng,0014,2016/07/26,Transmission,,Car id,Condition,New,,,Citroen C4,,Colour
,Options,,Year,,Petrol,,Manual,Area,,Citroen,,Fuel Type,2016,,,Finance available Trade-In's welcome. Price excludes on the road fees and any additional extras. Please contact us at Citroen Hatfield : 012 432 0700,,2016 Citroen DS3 1.2 Puretech Design 3-Door (60KW),Optional,,R 239 900,Gauteng,0015,2016/07/26,Transmission,,Car id,Condition,New,,,Citroen DS3,,Colour
,Options,,Mileage,,Petrol,,Automatic,Area,,Citroen,,Fuel Type,1 000 Km,,,"air conditioning, alloy wheels/rims, anti-lock braking system (ABS), autodim interior mirror, aux in (auxiliary input jack),Bluetooth connectivity, brake assist (BAS/EBA), CD player, climate control / automatic air conditioning, cloth upholstery,cruise control, curtain airbags, daytime driving/running lights, driver airbag, electric windows, electric-adjust mirrors,electronic brake distribution (EBD), front fog lamps/lights, front passenger airbag, front side airbags, high-level (3rd) brakelight, light se                                                                                    ,
                                                                                                                                                        We deliver country wide",,2016 Citroen DS3 1.6 Vti Techno A/t,Rubi red,,R 239 900,Kwazulu Natal,28599,2016/07/26,Transmission,,Car id,Year,2016,,,Citroen DS3,,Colour
,Area,,Mileage,,Petrol,,Manual,Car id,,Citroen,,Fuel Type,27 969 Km,,,Eastern Cape,,2014 Citroen DS3 1.2 VTi Design 3-Door,WILLIAM MOFFET,,R 139 990,2616,,2016/07/26,Transmission,,,Year,2014,,,Citroen DS3,,Condition
,Options,,Mileage,,Diesel,,Automatic,Area,,Citroen,,Fuel Type,500 Km,,,"dual sliding doors, rear a/c,                                                                                     ,
                                                                                                                                                        8 seater",,2016 Citroen Dispatch Multispace 2.0 HDi Auto 9-Seat,WHITE,,R 499 950,Gauteng,DESPATCH2.2,2016/07/26,Transmission,,Car id,Year,2016,,,Citroen Dispatch,,Colour
,Fuel Type,,Mileage,,Manual,,White,Options,,Citroen,,Transmission,73 000 Km,N/A,,Petrol,,2012 Citroen C4 Grand Picasso 1.6 Vti Seduct,Excellent,,R 119 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Motorplan, Radio                                                                                    ,
                                                                                                                                                        7 Seater vehicle",Gauteng,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen C4,,Condition
,Area,,Mileage,,Petrol,,Manual,Car id,,Citroen,,Fuel Type,77 495 Km,,,Eastern Cape,,2013 Citroen C3 Picasso 1.6 Vti Seduction,WILLIAM MOFFET,,R 114 990,2636,,2016/07/26,Transmission,,,Year,2013,,,Citroen C3,,Condition
,Fuel Type,,Mileage,,Manual,,silver,Options,,Citroen,,Transmission,124 000 Km,N/A,,Petrol,,2007 Citroen C2 1.4i Vtr,Excellent,,R 55 995,"Aircon, Alarm, Electric Windows, Full service record",Gauteng,2016/07/26,Colour,,Area,Year,2007,,Car id,Citroen C2,,Condition
,Fuel Type,,Mileage,,Manual,,yellow,Options,,Citroen,,Transmission,45 400 Km,N/A,,Petrol,,2011 Citroen DS3 1.6 Thp Sport 3dr,Excellent,,R 149 950,"ABS, Air bags, Aircon, Alarm, Cruise control, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        ABS, Air bags, Aircon, Alarm, Electric Windows, seats, Radio, AT VEEMOTORS. Easy and Fast Finance is available through all major banks; Trade ins accepted; People with Passport and valid permit can also apply. whatsapp or call us anytime",Gauteng,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,WHITE,Options,,Citroen,,Transmission,99 836 Km,N/A,,Petrol,,2011 Citroen C3 1.4 VTI Attraction +,Excellent,,R 94 900,"ABS, Air bags, Aircon, Alarm, Electric Windows, Full service record                                                                                    ,
                                                                                                                                                        CITROEN C3 1.4 VTI ATTRANTION +, 2011 MODEL, WHITE COLOUR, EXCELLENT CONDITION, A/C, E/WINDOW, P/STEERING, RADIO, A/BAG, USER MANUAL AND SERVICE BOOK AVAILABLE.",Gauteng,2016/07/26,Colour,,Area,Year,2011,,Car id,Citroen C3,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,100 000 Km,,,"ABS, Electric Windows, Full service record, Radio                                                                                    ,
                                                                                                                                                        Easy to park, Fuel efficient.",,2010 Citroen C1 1.0i Seduction,Good,,R 69 990,Gauteng,N/A,2016/07/26,Transmission,,Car id,Year,2010,,,Citroen C1,,Condition
,Fuel Type,,Mileage,,Manual,,Black,Options,,Citroen,,Transmission,142 000 Km,N/A,,Petrol,,2007 Citroen C2 1.4i Vtr,Good,,R 44 990,"ABS, Air bags, Aircon, Electric Windows, Radio",Gauteng,2016/07/26,Colour,,Area,Year,2007,,Car id,Citroen C2,,Condition
,Fuel Type,,Mileage,,Manual,,Pearl White,Options,,Citroen,,Transmission,70 200 Km,38641,,Petrol,,2012 Citroen DS5  1.6 Thp Sport (147kw),Excellent,,R 249 995,. Please contact Kelston Motor Group on 0712313134 for any assistance.,Eastern Cape,2016/07/26,Colour,,Area,Year,2012,,Car id,Citroen DS5,,Condition
,Fuel Type,,Mileage,,Manual,,Black,Options,,Citroen,,Transmission,116 000 Km,N/A,,Petrol,,2007 Citroen C1 1.0i,Excellent,,R 59 000,"Full service record                                                                                    ,
                                                                                                                                                        Call Lerato on 0736208043, Denise on 081 780 3493 or Dynamic Auto on 0184691045 today!",North West Province,2016/07/26,Colour,,Area,Year,2007,,Car id,Citroen C1,,Condition
,Fuel Type,,Mileage,,Manual,,Silver Grey,Options,,Citroen,,Transmission,1 000 Km,743478,,Petrol,,2016 Citroen C4 Cactus 1.2 Puretech Feel (60kw),Excellent,,R 209 900,"ABS, EBS, brake assist, stability control, power steering, central locking, aircon, AUX input, USB port",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C4,,Condition
,Fuel Type,,Mileage,,Manual,,Gallium Grey Metallic 1,Options,,Citroen,,Transmission,2 500 Km,748828,,Petrol,,2016 Citroen C1 1.0 Feel 5-Door,Excellent,,R 149 900,"ABS, EBS, brake assist, hill start assist, stability control, power steering, central locking, aircon, climate control, AUX input, USB port",Gauteng,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen C1,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,91 000 Km,,,"Air Conditioning, Radio / CD, Central Locking                                                                                    ,
                                                                                                                                                        For more information on this vehicle please contact 0816408391. This is the perfect vehicle if you are running a courier service or a small delivery company or to add to your fleet if you have a company like a florist. The cargo area is big enough to hold numerous boxes and plenty of bouquets. The vehicle has a full service history and the cabin is still in very good condition and well taken care of. All of our pre owned vehicles go through a strict inspection and are roadworthied by the AA, ensuring you of a quality and value for money vehicle on purchasing. Test drives are available, trade ins are welcome and finance can be arranged.",,2013 Citroen Berlingo 1.6i F/c P/v,Ut White,,R 90 000,Gauteng,22Usd13512,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen Berlingo,,Colour
,Fuel Type,,Mileage,,Manual,,Blue,Options,,Citroen,,Transmission,50 Km,#38354,,Petrol,,2016 Citroen DS3 1.2 Puretech Style 3-Door (81kW),New,,R 259 900,"ABS, Air bags, Aircon, Alarm, Climate control, Cruise control, Electric Windows, Full service record, Motorplan, Park distance control, Radio                                                                                    ,
                                                                                                                                                        Air Conditioner Power Steering Central Locking Remote Electric Mirrors Electric Windows - Front & Back Factory Alloy Wheels


. Standard features: ABS, EBS, brake assist, stability control, power steering, central locking, aircon, CD player, AUX input.

Power - 81kw 6000 rpm
Torque - 205 Nm 4200 rpm
Economy - 4.5 l/100km
Emissions - 136 g/km
Emissions Rating - EU5
Gears - 5 / FRONT
Acceleration - 8.9 seconds
Top Speed - 190 km/h
Airbags (total) - 6
Length - 3,948 cm
Seats - 5
Fuel Tank Capacity - 50 litres 
For Futher Information 
Please Contact 
Justin Mandy 
0839899658
justinm@mekor.co.za",Western Cape,2016/07/26,Colour,,Area,Year,2016,,Car id,Citroen DS3,,Condition
,Fuel Type,,Mileage,,Manual,,SILVER,Options,,Citroen,,Transmission,14 000 Km,N/A,,Petrol,,2015 Citroen C4 Aircross 2.0 Seduction,Excellent,,R 269 999,"Air bags, Aircon, Climate control, Electric Windows, Full service record, Motorplan, Radio",Gauteng,2016/07/26,Colour,,Area,Year,2015,,Car id,Citroen C4,,Condition
,Options,,Mileage,,Petrol,,Manual,Area,,Citroen,,Fuel Type,182 499 Km,,,"Immaculate condition.
Bin lining, Cloth interior, Radio, Cd, Mp3, Air conditioning, Airbags, Power steering, Remote central locking, Electric windows, Full service history.                                                                                    ,
                                                                                                                                                        For more information on this vehicle please contact 0816659714. Spacious Panal Van.Reliable, plenty off space, Ample legroom for driver and passanger.Seats 3 adults comfortably in the front.Bin lining, Radio, Cd, Mp3, Aircon, clever features that makes the ride comfortable.Extended warranty and optional service plan available.",,2013 Citroen Berlingo 1.6i F/c P/v,White,,R 89 990,Kwazulu Natal,61USD12834,2016/07/26,Transmission,,Car id,Year,2013,,,Citroen Berlingo,,Colour
