,make,model
2598,Chevrolet,Captiva
2657,Chevrolet,Camaro
2658,Chevrolet,Blazer
2662,Chevrolet,Aveo
2726,Chrysler,Sebring
2740,Chrysler,PT Cruiser
2753,Chrysler,PT
2767,Chrysler,Neon
2773,Chrysler,Grand Voyager
2808,Chrysler,Grand
2850,Chrysler,Crossfire
2857,Chrysler,300C
2877,Citroen,Xsara
2884,Citroen,Relay
2885,Citroen,Picasso
2894,Citroen,DS5
2898,Citroen,DS4
2907,Citroen,DS3
2926,Citroen,C5
2932,Citroen,C4
2967,Citroen,C3 PICASSO
2968,Citroen,C3
3004,Citroen,C2
3021,Citroen,C1
3042,Citroen,Berlingo
3050,Daewoo,Nubira
3051,Daewoo,Matiz
3058,Daewoo,Lanos
3064,Daewoo,Espero
3069,Daewoo,Cielo
3075,Daihatsu,YRV
3077,Daihatsu,Terios
3130,Daihatsu,Sirion
3167,Daihatsu,Materia
3170,Daihatsu,Gran Max
3172,Daihatsu,Cuore
3175,Daihatsu,Copen
3179,Daihatsu,Charade
3196,Dodge,Ram
3201,Dodge,Nitro
3210,Dodge,Journey
3244,Dodge,Caliber
3287,Dodge,CALIBRE
3320,Ferrari,348
3322,Ferrari,328
3324,Ferrari,308
3325,Ferrari,Testarossa
3326,Ferrari,Mondial
3353,Ferrari,348TS
3354,Fiat,500
3379,Fiat,Uno
3399,Fiat,Strada
3421,Fiat,Stilo
3422,Fiat,Siena
3430,Fiat,Seicento
3432,Fiat,Qubo
3437,Fiat,Punto
3471,Fiat,Panda
3496,Fiat,Palio
3535,Fiat,Multipla
3539,Fiat,Linea
3545,Fiat,GRANDE PUNTO
3547,Fiat,Fiorino
3551,Fiat,Ducato
3552,Fiat,Doblo
3556,Fiat,Bravo
3562,Fiat,Brava
3563,Ford,Transit
3571,Ford,Tracer
3572,Ford,Tourneo
3584,Ford,Territory
3600,Ford,Ranger
3689,Ford,Mustang
3694,Ford,Mondeo
3698,Ford,Laser
3703,Ford,Kuga
3729,Ford,Ka
3740,Ford,Ikon
3773,Ford,Focus
3850,Ford,Figo
3902,Ford,Fiesta
3995,Ford,Falcon
3999,Ford,Fairlane
4000,Ford,F250
4003,Ford,F100
4005,Ford,F-Series
4006,Ford,Everest
4032,Ford,Escort
4036,Ford,Courier
4043,Ford,Cortina
4045,Ford,Bantam
4107,GWM,Steed
4135,GWM,Multi-wagon
4136,GWM,Hover
4149,GWM,H6
4152,GWM,H5
4169,GWM,Florid
4179,GWM,CB150
4181,GWM,C10
4186,GWM,2.4
4187,GWM,2.2
4190,Geely,MK
4196,Geely,LC
4202,Geely,CK1
4203,Geely,CK
4206,GoNow,X-Space
4207,Hafei,Loda
4208,Honda,S2000
4210,Honda,Prelude
4212,Honda,Odyssey
4213,Honda,Jazz
4274,Honda,Insight
4276,Honda,HR-V
4277,Honda,FR-V
4285,Honda,Civic
4354,Honda,CRX
4355,Honda,CR-Z
4362,Honda,CR-V
4432,Honda,CR
4502,Honda,Brio
4517,Honda,Ballade
4563,Honda,Accord
4605,Hummer,H3
4620,Hyundai,Ix35
4662,Hyundai,I30
4690,Hyundai,I20
4738,Hyundai,I10
4793,Hyundai,Tucson
4834,Hyundai,Trajet
4836,Hyundai,Tiburon
4850,Hyundai,Terracan
4859,Hyundai,Sonata
4890,Hyundai,Santa FE
4915,Hyundai,Santa
4943,Hyundai,Matrix
4947,Hyundai,H100
4974,Hyundai,H1
5008,Hyundai,Getz
5057,Hyundai,Elantra
5107,Hyundai,Bakkie
5108,Hyundai,Azera
5111,Hyundai,Atoz
5121,Hyundai,Atos
5153,Hyundai,Accent
5203,Isuzu,Trooper
5205,Isuzu,KB250D
5210,Isuzu,KB250
5216,Isuzu,KB240
5217,Isuzu,KB Series
5235,Isuzu,KB
5337,Isuzu,Frontier
5343,Jaguar,XKR
5370,Jaguar,XK8
5373,Jaguar,XK
5380,Jaguar,XJS
5396,Jaguar,XJR
5403,Jaguar,XJ8
5407,Jaguar,XJ6
5410,Jaguar,XJ
5426,Jaguar,XF
5478,Jaguar,X-Type
5499,Jaguar,Sovereign
5500,Jaguar,S-TYPE
5517,Jaguar,S
5539,Jaguar,F-Type
5548,Jaguar,E-Type
5550,Jeep,Wrangler
5612,Jeep,Willys
5613,Jeep,Sahara
5614,Jeep,Patriot
5654,Jeep,Grand Cherokee
5720,Jeep,Grand
5790,Jeep,Compass
5826,Jeep,Commander
5838,Jeep,Cherokee
5923,Morris,MINOR
5930,Nissan,1400
5944,Nissan,370
5947,Nissan,350
5948,Nissan,200
6006,Nissan,1
6007,Nissan,Xtrail
6084,Nissan,X
6095,Nissan,Tiida
6144,Nissan,Terrano
6145,Nissan,Skyline
6148,Nissan,Sentra
6170,Nissan,Sani
6172,Nissan,Qashqai
6235,Nissan,Primera
6239,Nissan,Primastar
6245,Nissan,Patrol
6256,Nissan,Pathfinder
6288,Nissan,Navara
6350,Nissan,NV350
6357,Nissan,NV200
6363,Nissan,NP300
6396,Nissan,NP 200
6451,Nissan,NP
6508,Nissan,Murano
6547,Nissan,Micra
6595,Nissan,Maxima
6599,Nissan,Livina
6636,Nissan,Juke
6666,Nissan,Hi-Rider
6667,Nissan,Hardbody
6740,Nissan,Grand Livina
6748,Nissan,GTR
6765,Nissan,GRAND
6776,Nissan,Champ
6779,Nissan,Cabstar
6780,Nissan,Almera
6821,Nissan,370Z
6835,Nissan,350Z
6848,Nissan,100NX
6849,Noble,M400
6851,Opel,Zafira
6880,Opel,Vivaro
6894,Opel,Tigra
6899,Opel,Rekord
6901,Opel,Omega
6903,Opel,Meriva
6928,Opel,Kadett
6933,Opel,Corsa
7041,Opel,Combo
7046,Opel,Astra
7127,Peugeot,4008
7135,Peugeot,3008
7160,Peugeot,1007
7164,Peugeot,807
7168,Peugeot,508
7179,Peugeot,407
7196,Peugeot,406
7197,Peugeot,308
7232,Peugeot,307
7264,Peugeot,306
7266,Peugeot,208
7288,Peugeot,207
7337,Peugeot,206
7368,Peugeot,107
7393,Peugeot,RCZ
7410,Peugeot,Partner
7427,Peugeot,Expert
7433,Peugeot,Boxer
7441,Pontiac,Trans Am
7443,Pontiac,STRATO CHIEF
7449,Porsche,996
7450,Porsche,944
7453,Porsche,924
7454,Porsche,912
7456,Porsche,911
7498,Porsche,Panamera
7508,Porsche,Cayman
7521,Porsche,Cayenne
7566,Porsche,Carrera
7577,Porsche,CAYENNE-S
7586,Porsche,Boxster S
7593,Porsche,Boxster
7615,Porsche,BOXTER
7616,Proton,Savvy
7620,Proton,Satria
7623,Proton,Persona
7624,Proton,Gen.2
7629,Proton,Gen
7634,Proton,Arena
7636,Renault,16
7637,Renault,5
7640,Renault,Twingo
7647,Renault,Trafic
7649,Renault,Scenic
7698,Renault,Sandero
7742,Renault,Modus
7750,Renault,Megane
7823,Renault,Logan
7836,Renault,Laguna
7842,Renault,Koleos
7861,Renault,Kangoo
7868,Renault,Grand Scenic
7874,Renault,Grand
7882,Renault,FLUENCE
7889,Renault,Espace
7893,Renault,Clio
7959,Rover,3500
7960,Rover,75
7965,Rover,Range Rover
8038,Rover,Freelander
8100,Rover,Discovery
8186,Rover,Defender 90
8197,Rover,Defender 110
8210,Rover,Defender
8270,Saab,900
8272,Saab,Linear
8275,Saab,9-3
8285,Seat,Leon
8286,Seat,Ibiza
8296,Seat,Cupra
8298,Seat,Altea
8303,Smart,Roadster
8304,Smart,Pure
8308,Smart,Pulse
8309,Smart,Passion
8310,Smart,Fortwo Coupe
8312,Smart,Fortwo
8321,Smart,Forfour
8327,Smart,Coupe
8334,Smart,City-Coupe
8335,Smart,Cabrio
8337,Ssangyong,Stavic
8338,Ssangyong,Rexton
8347,Ssangyong,Musso
8351,Ssangyong,Kyron
8356,Ssangyong,Korando
8367,Ssangyong,Actyon
8374,Subaru,XV
8380,Subaru,WRX
8391,Subaru,Tribeca
8396,Subaru,Outback
8420,Subaru,Legacy
8433,Subaru,Impreza
8456,Subaru,Forester
8496,Suzuki,Vitara
8515,Suzuki,Swift
8550,Suzuki,Samurai
8551,Suzuki,SX4
8580,Suzuki,Kizashi
8586,Suzuki,Jimny
8612,Suzuki,Grand Vitara
8629,Suzuki,Grand
8652,Suzuki,GSX
8653,Suzuki,ALTO
8685,TVR,Chimaera
8686,Tata,207
8687,Tata,Xenon
8710,Tata,Vista
8715,Tata,Telcoline
8724,Tata,Safari
8727,Tata,Indigo
8731,Tata,Indica
8768,Toyota,Yaris
8845,Toyota,Verso
8886,Toyota,Tazz
8920,Toyota,Stallion
8924,Toyota,RunX
8945,Toyota,Rav 4
8994,Toyota,Raider
8995,Toyota,Quantum
9031,Toyota,Prius
9038,Toyota,Previa
9039,Toyota,Prado
9088,Toyota,MR2
9090,Toyota,Land Cruiser Prado
9110,Toyota,Land Cruiser
9176,Toyota,Land
9246,Toyota,Innova
9250,Toyota,Hi Lux
9353,Toyota,Hi-Ace
9457,Toyota,GT86
9458,Toyota,Fortuner
9527,Toyota,FJ Cruiser
9532,Toyota,FJ
9546,Toyota,Etios
9573,Toyota,Crown
9574,Toyota,Cressida
9576,Toyota,Corolla
9577,Toyota,Corolla Verso
9706,Toyota,Conquest
9714,Toyota,Condor
9725,Toyota,Celica
9726,Toyota,Camry
9744,Toyota,Aygo
9758,Toyota,Avensis
9765,Toyota,Avanza
9821,Toyota,Auris
9874,Vauxhall,Velox
9879,Volkswagen,Velociti
9883,Volkswagen,Transporter
9902,Volkswagen,Touran
9937,Volkswagen,Touareg
9989,Volkswagen,Tiguan
10038,Volkswagen,T5
10075,Volkswagen,T4
10076,Volkswagen,Sharan
10084,Volkswagen,Scirocco
10118,Volkswagen,Polo Vivo
10163,Volkswagen,Polo
10288,Volkswagen,Passat
10330,Volkswagen,Microbus
10343,Volkswagen,Kombi
10390,Volkswagen,Jetta
10477,Volkswagen,Golf
10599,Volkswagen,EOS
10604,Volkswagen,Cross Polo
10609,Volkswagen,Combi
10615,Volkswagen,Citi
10674,Volkswagen,Chico
10682,Volkswagen,Caravelle
10722,Volkswagen,Caddy
10757,Volkswagen,CC
10780,Volkswagen,Beetle
10810,Volkswagen,Amarok
10850,Volvo,850
10851,Volvo,XC90
10889,Volvo,XC70
10905,Volvo,XC60
10933,Volvo,V70
10942,Volvo,V60
10949,Volvo,V50
10978,Volvo,V40
10996,Volvo,S80
11009,Volvo,S70
11011,Volvo,S60
11066,Volvo,S40
11133,Volvo,C70
11144,Volvo,C30
11178,Kia,Sportage
11245,Kia,Soul
11264,Kia,Sorento
11301,Kia,Shuma
11302,Kia,Sedona
11320,Kia,Rio
11362,Kia,Proceed
11363,Kia,Pregio
11364,Kia,Picanto
11422,Kia,Optima
11426,Kia,Magentis
11427,Kia,K2700
11458,Kia,Cerato
11498,Kia,Carens
11517,Lancia,Delta
11518,Land Rover,Range Rover
11591,Land Rover,Freelander
11653,Land Rover,Discovery
11739,Land Rover,Defender 90
11750,Land Rover,Defender 110
11763,Land Rover,Defender
11823,Lexus,250
11839,Lexus,SC
11840,Lexus,RX 400h
11842,Lexus,RX 350
11849,Lexus,RX 300
11850,Lexus,RX
11874,Lexus,LX
11882,Lexus,LS460
11884,Lexus,LS 430
11885,Lexus,LS
11896,Lexus,IS250C
11897,Lexus,IS 250
11912,Lexus,IS
11963,Lexus,GS 450h
11966,Lexus,GS 300
11970,Lexus,GS
11986,Lexus,CT
11991,Lotus,Exige
11992,Lotus,Evora
11993,Lotus,Elise
11996,M.G.,ZT
11997,M.G.,TF
12002,M.G.,Midget
12004,M.G.,MGF
12005,M.G.,MGB
12006,M.G.,MG6
12021,M.G.,BGT
12022,Mahindra,Xylo
12027,Mahindra,XUV500
12031,Mahindra,Thar
12033,Mahindra,Scorpio
12052,Mahindra,Bolero
12060,Maserati,Quattroporte
12065,Maserati,GranSport
12068,Maserati,Gran Turismo
12075,Mazda,626
12076,Mazda,323
12088,Mazda,6
12133,Mazda,5
12183,Mazda,3
12241,Mazda,2
12279,Mazda,Sting
12282,Mazda,Soho
12283,Mazda,Rustler
12286,Mazda,RX-8
12293,Mazda,RX-7
12295,Mazda,Marathon
12296,Mazda,MX-6
12300,Mazda,MX-5
12315,Mazda,MAZDA 6
12323,Mazda,MAZDA 5
12337,Mazda,MAZDA 3
12368,Mazda,MAZDA 2
12387,Mazda,Etude
12394,Mazda,Drifter
12425,Mazda,CX7
12440,Mazda,CX-5
12452,Mazda,BT50
12505,Mazda,B3000
12506,Mazda,B2600
12507,Mazda,B2500
12508,Mazda,B-SERIES
12511,Mazda,Astina
12513,Mercedes-Benz,380
12514,Mercedes-Benz,320
12515,Mercedes-Benz,300
12520,Mercedes-Benz,280
12522,Mercedes-Benz,260
12523,Mercedes-Benz,250
12524,Mercedes-Benz,230
12534,Mercedes-Benz,220
12539,Mercedes-Benz,200
12548,Mercedes-Benz,190
12549,Mercedes-Benz,115
12550,Mercedes-Benz,Vito
12594,Mercedes-Benz,Viano
12626,Mercedes-Benz,SLS
12664,Mercedes-Benz,SLK-CLASS
12704,Mercedes-Benz,SLK
12763,Mercedes-Benz,SL-Class
12791,Mercedes-Benz,SL
12832,Mercedes-Benz,S-Class
12900,Mercedes-Benz,R Class
12912,Mercedes-Benz,ML
12968,Mercedes-Benz,M-Class
13027,Mercedes-Benz,GL-Class
13047,Mercedes-Benz,E-Class
13151,Mercedes-Benz,CLS-Class
13176,Mercedes-Benz,CLS
13215,Mercedes-Benz,CLK-Class
13228,Mercedes-Benz,CLK
13262,Mercedes-Benz,CLC
13275,Mercedes-Benz,CL-CLASS
13300,Mercedes-Benz,CL
13339,Mercedes-Benz,C300
13343,Mercedes-Benz,C220
13346,Mercedes-Benz,C200
13361,Mercedes-Benz,C-Class
13486,Mercedes-Benz,C
13612,Mercedes-Benz,B180
13616,Mercedes-Benz,B-Class
13666,Mercedes-Benz,A180
13670,Mercedes-Benz,A170
13674,Mercedes-Benz,A-Class
13754,Mercedes-Benz,260E
13755,Mercedes-Benz,190E
13756,Mini,Mini
13774,Mini,Cooper S
13816,Mini,Cooper
13894,Mini,Clubman
13910,Mini,COUPE
13929,Mini,COUNTRYMAN
13950,Mini,Austin
13951,Mitsubishi,Triton
14002,Mitsubishi,Pajero Sport
14019,Mitsubishi,Pajero
14100,Mitsubishi,Outlander
14133,Mitsubishi,Lancer
14163,Mitsubishi,L300
14166,Mitsubishi,Colt
14223,Mitsubishi,Club
14225,Mitsubishi,ASX
14246,Mitsubishi,3000 GT
14247,AC,Cobra
14250,Daewoo,Tacuma
14288,Cherry,Tiggo
14311,Beach,Buggy
14316,Austin,Mini
14366,Alfa Romeo,75
14478,Audi,S8
14643,Audi,A4 Sedan
14644,Audi,A4 Avant
14692,Austin,Cambridge
15094,BMW,3 Series E46 2000-2005
15095,BMW,3 Series Convertible
15187,Bentley,Flying Spur
15229,Cherry,QQ3
15231,Cherry,J1
15377,Chrysler,New Yorker
15592,Daihatsu,Move
15627,Datsun,1200
15628,Datsun,STANZA
15712,Fiat,X1/9
15809,Fiat,Doblo Cargo
15837,Ford,Sierra
15840,Ford,Sapphire
15953,Ford,Fairmont
15963,Ford,Explorer
16005,Fudi,Lion
16019,GWM,LDV
16039,GWM,COOLBEAR
16224,Hummer,H2
16227,Hummer,ADVENTURE
16581,Mitsubishi,Rodeo
16790,Nissan,Sabre
16791,Nissan,Qashqai Acenta
16876,Nissan,NP2000
17036,Nissan,280ZX
17037,Nissan,200SX
17072,Opel,Monza
17094,Opel,GTC
17163,Peugeot,607
17281,Porsche,997
17284,Porsche,997s
17287,Porsche,964
17439,Renault,8
17582,Rolls-Royce,Silver Shadow
17647,Rover,Defender Cup
17711,Saab,9-5
17944,Suzuki,SJ
17987,Suzuki,GSXR
18037,Tata,LPT
18062,Tata,B-Line
18092,Toyota,Venture
18112,Toyota,Sprinter
18466,Toyota,4 Runner
18467,Vauxhall,Victor
18567,Volkswagen,Polo Classic
18698,Volkswagen,Fox
18780,Volkswagen,CRAFTER
19104,Jeep,Laredo
19305,Kia,Carnival
19317,Lada,Niva
19338,Lancia,Beta
19398,Land Rover,Defender Cup
19513,Lexus,IS 300
19565,Lotus,Seven
19569,Lotus,Esprit
19632,Maserati,Spyder
19648,Maybach,62
19668,Mazda,121
19753,Mazda,Midge
19757,Mazda,Magnum
19885,Mazda,B250
19895,Mercedes-Benz,500
19896,Mercedes-Benz,420
20361,Mercedes-Benz,A190
20388,Mercedes-Benz,230E
20390,AC,212
